NPI,Payment_Type,Total_Payment_USDollars,Interaction
1437419058.0,Cash or cash equivalent,492084.28,1
1437419058.0,In-kind items and services,51731.94,3
1437416617.0,Cash or cash equivalent,86449.0,13
1437416591.0,Cash or cash equivalent,19365.5,2
1437413895.0,Cash or cash equivalent,1000.0,1
1437413762.0,Cash or cash equivalent,49403.0,18
1437413721.0,Cash or cash equivalent,90049.27,12
1437413168.0,Cash or cash equivalent,34822.02,1
1437398955.0,Cash or cash equivalent,36957.1,3
1437395266.0,Cash or cash equivalent,23190.86,1
1437395191.0,In-kind items and services,1460.27,1
1437394210.0,Cash or cash equivalent,8050.0,1
1437393592.0,Cash or cash equivalent,41431.229999999996,3
1437393352.0,Cash or cash equivalent,77491.0,6
1437392875.0,Cash or cash equivalent,393.0,1
1437392875.0,In-kind items and services,104.4,2
1437391901.0,Cash or cash equivalent,28823.0,6
1437391687.0,Cash or cash equivalent,16475.0,6
1437389087.0,Cash or cash equivalent,577268.8,85
1437389087.0,In-kind items and services,705.13,3
1437388352.0,Cash or cash equivalent,595006.9,7
1437386299.0,Cash or cash equivalent,15453.4,6
1437384633.0,Cash or cash equivalent,10526.4,7
1437382314.0,Cash or cash equivalent,1111309.48,272
1437382314.0,In-kind items and services,1582.0,2
1437380789.0,Cash or cash equivalent,546030.4,38
1437380789.0,In-kind items and services,57299.71,6
1437379989.0,Cash or cash equivalent,1496.0,1
1437379369.0,Cash or cash equivalent,44600.0,1
1437378643.0,Cash or cash equivalent,981.0,2
1437377280.0,Cash or cash equivalent,5940.0,1
1437376548.0,Cash or cash equivalent,16700.1,12
1437375391.0,Cash or cash equivalent,96700.0,16
1437375128.0,Cash or cash equivalent,10902961.87,1755
1437375128.0,In-kind items and services,921216.91,42
1437370095.0,Cash or cash equivalent,60219.95,1
1437370095.0,In-kind items and services,6038.82,1
1437369055.0,Cash or cash equivalent,2000.0,1
1437369055.0,In-kind items and services,4244.1,1
1437364213.0,Cash or cash equivalent,186252.66999999998,7
1437364213.0,In-kind items and services,6728.87,1
1437363967.0,Cash or cash equivalent,59227.1,9
1437363470.0,Cash or cash equivalent,38293.9,7
1437362548.0,Cash or cash equivalent,8980.2,1
1437362548.0,In-kind items and services,4399.35,1
1437362092.0,Cash or cash equivalent,21000.0,4
1437361623.0,Cash or cash equivalent,170220.38,106
1437360187.0,Cash or cash equivalent,4432.66,4
1437357274.0,Cash or cash equivalent,53497.7,2
1437357274.0,In-kind items and services,20358.62,2
1437355302.0,Cash or cash equivalent,68941.74,13
1437353471.0,Cash or cash equivalent,9125.0,1
1437352820.0,Cash or cash equivalent,303451.97,127
1437352820.0,In-kind items and services,1099414.25,37
1437349024.0,Cash or cash equivalent,18376.45,2
1437348521.0,Cash or cash equivalent,9345.0,4
1437348521.0,In-kind items and services,85318.34,2
1437343597.0,Cash or cash equivalent,183844.03,18
1437343597.0,In-kind items and services,28522.84,3
1437343407.0,Cash or cash equivalent,17377.489999999998,13
1437343407.0,In-kind items and services,120.0,1
1437342870.0,Cash or cash equivalent,24916.6,21
1437342847.0,Cash or cash equivalent,2000.0,1
1437341948.0,Cash or cash equivalent,82425.44,1
1437340668.0,Cash or cash equivalent,4000.0,1
1437336609.0,Cash or cash equivalent,4400.0,1
1437335254.0,Cash or cash equivalent,78250.0,11
1437329976.0,Cash or cash equivalent,96638.86,5
1437325883.0,Cash or cash equivalent,14805.0,6
1437325784.0,Cash or cash equivalent,151175.48,68
1437324084.0,Cash or cash equivalent,182609.23,20
1437323219.0,Cash or cash equivalent,437639.67,4
1437322294.0,Cash or cash equivalent,97659.9,74
1437321932.0,Cash or cash equivalent,325458.72000000003,55
1437321932.0,In-kind items and services,18933.6,214
1437320710.0,Cash or cash equivalent,63302.05,7
1437320710.0,In-kind items and services,107280.0,3
1437317658.0,Cash or cash equivalent,112254.06999999999,10
1437316817.0,Cash or cash equivalent,23835.65,5
1437316304.0,Cash or cash equivalent,242655.06,26
1437315033.0,Cash or cash equivalent,1950.0,1
1437311297.0,Cash or cash equivalent,101724.17,4
1437311297.0,In-kind items and services,2929565.9,7
1437309283.0,Cash or cash equivalent,1736272.6400000001,51
1437309283.0,In-kind items and services,1453121.32,15
1437306396.0,Cash or cash equivalent,21791.27,1
1437302643.0,Cash or cash equivalent,10000.0,1
1437292828.0,Cash or cash equivalent,138382.4,12
1437292828.0,In-kind items and services,233530.24,2
1437290210.0,Cash or cash equivalent,108394.0,41
1437285145.0,Cash or cash equivalent,458475.0,2
1437283918.0,Cash or cash equivalent,39335.07,10
1437283900.0,Cash or cash equivalent,9943.0,5
1437283470.0,Cash or cash equivalent,79843.99,2
1437281920.0,Cash or cash equivalent,11160.0,1
1437278959.0,Cash or cash equivalent,204787.95,18
1437278959.0,In-kind items and services,185923.54,2
1437277381.0,Cash or cash equivalent,20786.3,3
1437268505.0,Cash or cash equivalent,59985.0,8
1437268265.0,Cash or cash equivalent,876795.43,51
1437268265.0,In-kind items and services,751969.74,1
1437268174.0,Cash or cash equivalent,569243.89,84
1437268174.0,In-kind items and services,98452.32,13
1437265436.0,Cash or cash equivalent,76313.07,55
1437265287.0,Cash or cash equivalent,6647.0,1
1437264744.0,Cash or cash equivalent,4050.0,5
1437260940.0,Cash or cash equivalent,1281435.55,45
1437260940.0,In-kind items and services,2073.6,1
1437259215.0,Cash or cash equivalent,250973.53,45
1437259215.0,In-kind items and services,447.65,2
1437258498.0,Cash or cash equivalent,158347.0,16
1437258498.0,In-kind items and services,601.99,1
1437258399.0,Cash or cash equivalent,433189.73,9
1437258399.0,In-kind items and services,13861.310000000001,3
1437258068.0,Cash or cash equivalent,138652.63,48
1437258068.0,In-kind items and services,1575392.58,33
1437255072.0,Cash or cash equivalent,186947.0,34
1437253671.0,Cash or cash equivalent,26215.12,7
1437253481.0,Cash or cash equivalent,410351.9,4
1437253481.0,In-kind items and services,39624.35,3
1437251360.0,Cash or cash equivalent,26803.850000000002,2
1437251360.0,In-kind items and services,2455.09,5
1437249430.0,Cash or cash equivalent,800.0,1
1437247822.0,Cash or cash equivalent,30088.25,8
1437244910.0,Cash or cash equivalent,364872.78,48
1437241510.0,Cash or cash equivalent,3793733.79,19
1437241510.0,In-kind items and services,4441027.77,57
1437237732.0,Cash or cash equivalent,58775.82,25
1437237567.0,Cash or cash equivalent,9796.42,2
1437235645.0,Cash or cash equivalent,4499.63,2
1437233533.0,Cash or cash equivalent,80194.2,6
1437233533.0,In-kind items and services,33677.42,2
1437233327.0,Cash or cash equivalent,300.0,1
1437231537.0,Cash or cash equivalent,112395.0,1
1437231537.0,In-kind items and services,1283.6,1
1437230505.0,Cash or cash equivalent,41278.6,49
1437230505.0,In-kind items and services,3193.04,5
1437225737.0,Cash or cash equivalent,259890.75,29
1437224524.0,Cash or cash equivalent,311377.0,2
1437224524.0,In-kind items and services,170060.4,1
1437221694.0,Cash or cash equivalent,46490.0,6
1437211414.0,Cash or cash equivalent,348333.3,70
1437211414.0,In-kind items and services,424.56,1
1437211372.0,Cash or cash equivalent,98041.83,4
1437211372.0,In-kind items and services,902.5699999999999,2
1437210465.0,Cash or cash equivalent,104255.3,4
1437206232.0,Cash or cash equivalent,13012.0,1
1437206232.0,In-kind items and services,18153.98,2
1437205796.0,Cash or cash equivalent,17708.0,1
1437205051.0,Cash or cash equivalent,122820.49,11
1437205051.0,In-kind items and services,2766.88,4
1437202355.0,Cash or cash equivalent,475068.0,2
1437202355.0,In-kind items and services,2342.87,4
1437199668.0,Cash or cash equivalent,847.6,1
1437199049.0,Cash or cash equivalent,88689.24,4
1437198082.0,Cash or cash equivalent,189836.93,5
1437197373.0,Cash or cash equivalent,2100.0,2
1437196433.0,Cash or cash equivalent,265085.77,3
1437196433.0,In-kind items and services,4519.54,2
1437193745.0,Cash or cash equivalent,110922.4,7
1437193083.0,Cash or cash equivalent,18800.0,1
1437192598.0,Cash or cash equivalent,16118.58,9
1437192317.0,Cash or cash equivalent,273856.63,53
1437192317.0,In-kind items and services,8139.5599999999995,4
1437191533.0,Cash or cash equivalent,1218.75,2
1437190634.0,Cash or cash equivalent,1454.12,1
1437190634.0,In-kind items and services,397686.82,1
1437190089.0,Cash or cash equivalent,88164.0,7
1437189768.0,Cash or cash equivalent,786721.14,3
1437189768.0,In-kind items and services,4449192.0,7
1437188430.0,Cash or cash equivalent,873488.02,9
1437188430.0,In-kind items and services,2041.4599999999998,8
1437187929.0,Cash or cash equivalent,148691.95,4
1437187929.0,In-kind items and services,2129.9,2
1437187747.0,Cash or cash equivalent,388734.78,180
1437187747.0,In-kind items and services,696.3,2
1437187234.0,Cash or cash equivalent,4450.0,2
1437186418.0,Cash or cash equivalent,4145.0,3
1437186327.0,Cash or cash equivalent,184941.55,4
1437186327.0,In-kind items and services,311.71,1
1437186038.0,Cash or cash equivalent,352998.06,8
1437186038.0,In-kind items and services,5603.96,6
1437183910.0,Cash or cash equivalent,3000.0,1
1437183183.0,Cash or cash equivalent,10000.0,1
1437182854.0,Cash or cash equivalent,4295.0,5
1437181674.0,Cash or cash equivalent,2000.0,2
1437179207.0,Cash or cash equivalent,24063.0,2
1437179207.0,In-kind items and services,104.4,2
1437179199.0,Cash or cash equivalent,51607.5,4
1437178274.0,Cash or cash equivalent,401006.02,22
1437178274.0,In-kind items and services,456337.4,5
1437177912.0,Cash or cash equivalent,48566.44,21
1437177912.0,In-kind items and services,100.72,3
1437176906.0,Cash or cash equivalent,17.57,1
1437176898.0,Cash or cash equivalent,29709.88,12
1437175668.0,Cash or cash equivalent,12565.0,1
1437173119.0,Cash or cash equivalent,120299.28,6
1437172558.0,Cash or cash equivalent,13730.0,4
1437165610.0,Cash or cash equivalent,16047.0,1
1437164803.0,Cash or cash equivalent,243422.52,20
1437164803.0,In-kind items and services,7206.08,2
1437163144.0,Cash or cash equivalent,93368.4,3
1437163144.0,In-kind items and services,6811.04,4
1437163003.0,Cash or cash equivalent,608205.45,97
1437163003.0,In-kind items and services,11698.14,5
1437161221.0,Cash or cash equivalent,338784.66000000003,6
1437159837.0,Cash or cash equivalent,11074.0,1
1437159597.0,Cash or cash equivalent,1173.55,2
1437159423.0,Cash or cash equivalent,27255.8,12
1437159423.0,In-kind items and services,728.48,20
1437157872.0,Cash or cash equivalent,5785.23,17
1437157872.0,In-kind items and services,761.11,2
1437156429.0,Cash or cash equivalent,88007.21,34
1437156429.0,In-kind items and services,14179.4,4
1437156239.0,Cash or cash equivalent,60460.9,15
1437156064.0,Cash or cash equivalent,8238.2,8
1437155637.0,In-kind items and services,8512.83,1
1437155231.0,Cash or cash equivalent,220365.0,80
1437155165.0,Cash or cash equivalent,23391.0,4
1437155165.0,In-kind items and services,377.65,1
1437155140.0,Cash or cash equivalent,1396.2,1
1437154978.0,Cash or cash equivalent,24378.67,13
1437154143.0,Cash or cash equivalent,59680.4,14
1437154143.0,In-kind items and services,2725.75,5
1437152832.0,Cash or cash equivalent,7054.5,8
1437151131.0,Cash or cash equivalent,181912.94,1
1437151131.0,In-kind items and services,245.21,1
1437150513.0,Cash or cash equivalent,24315.5,15
1437150331.0,Cash or cash equivalent,8967.619999999999,4
1437148327.0,Cash or cash equivalent,24323.550000000003,9
1437148327.0,In-kind items and services,29845.53,3
1437148087.0,Cash or cash equivalent,252791.74,31
1437148087.0,In-kind items and services,62483.64,197
1437147659.0,Cash or cash equivalent,18161.0,3
1437147386.0,Cash or cash equivalent,11424.42,6
1437146552.0,Cash or cash equivalent,40445.5,11
1437146552.0,In-kind items and services,560.0,8
1437145273.0,Cash or cash equivalent,900.0,1
1437143278.0,Cash or cash equivalent,17204.64,2
1437141272.0,Cash or cash equivalent,21781.0,1
1437141272.0,In-kind items and services,1832.55,1
1437140985.0,Cash or cash equivalent,809765.76,55
1437140985.0,In-kind items and services,600.0,1
1437140928.0,Cash or cash equivalent,22595.98,1
1437140506.0,Cash or cash equivalent,50625.689999999995,2
1437138427.0,Cash or cash equivalent,31052.0,11
1437137981.0,Cash or cash equivalent,17254.0,13
1437137247.0,Cash or cash equivalent,217211.0,2
1437137247.0,In-kind items and services,4457.62,2
1437136389.0,Cash or cash equivalent,58192.8,1
1437136173.0,Cash or cash equivalent,1247274.4400000002,8
1437136173.0,In-kind items and services,30277.45,1
1437134525.0,Cash or cash equivalent,13850.0,1
1437134426.0,Cash or cash equivalent,58130.84,1
1437134095.0,Cash or cash equivalent,107915.08,7
1437132735.0,Cash or cash equivalent,25655.38,12
1437132529.0,Cash or cash equivalent,1216.89,5
1437132263.0,Cash or cash equivalent,35197.0,6
1437130267.0,In-kind items and services,9086.25,1
1437129681.0,Cash or cash equivalent,58550.0,8
1437128733.0,Cash or cash equivalent,119918.9,27
1437128733.0,In-kind items and services,4264.45,1
1437128527.0,Cash or cash equivalent,47341.73,14
1437127404.0,Cash or cash equivalent,50000.0,6
1437127016.0,Cash or cash equivalent,107220.67,8
1437126380.0,Cash or cash equivalent,2809.0,1
1437126117.0,Cash or cash equivalent,9950.0,5
1437126018.0,Cash or cash equivalent,7061673.53,46
1437126018.0,In-kind items and services,764176.84,11
1437123676.0,Cash or cash equivalent,1750.0,1
1437123635.0,Cash or cash equivalent,54944.77,13
1437122660.0,Cash or cash equivalent,62487.65,17
1437122660.0,In-kind items and services,44808.57,4
1437122454.0,Cash or cash equivalent,49739.869999999995,29
1437121407.0,Cash or cash equivalent,1158907.11,25
1437121407.0,In-kind items and services,62966.829999999994,6
1437121324.0,Cash or cash equivalent,625.0,1
1437121100.0,Cash or cash equivalent,1690.0,1
1437118627.0,Cash or cash equivalent,522148.52,45
1437118478.0,Cash or cash equivalent,2650.0,1
1437117868.0,Cash or cash equivalent,2589.26,3
1437114840.0,Cash or cash equivalent,5127.0,2
1437113743.0,Cash or cash equivalent,1416.25,1
1437113255.0,Cash or cash equivalent,9098.619999999999,2
1437112349.0,Cash or cash equivalent,2057393.33,44
1437112349.0,In-kind items and services,26189.71,73
1437111978.0,Cash or cash equivalent,15931.8,2
1437111978.0,In-kind items and services,4869.9800000000005,2
1437111267.0,Cash or cash equivalent,49613.0,4
1437109683.0,Cash or cash equivalent,13942.26,6
1437108081.0,Cash or cash equivalent,17270.0,2
1437106820.0,Cash or cash equivalent,60198.94,34
1437105327.0,Cash or cash equivalent,3018.2200000000003,2
1437105327.0,In-kind items and services,317.0,1
1437103629.0,Cash or cash equivalent,18283.0,7
1437103629.0,In-kind items and services,26875.05,1
1437103389.0,Cash or cash equivalent,4223.0,1
1437103389.0,In-kind items and services,2809.59,1
1437101615.0,Cash or cash equivalent,92550.0,4
1437101615.0,In-kind items and services,4207.55,1
1437101250.0,Cash or cash equivalent,3750.0,1
1437100773.0,Cash or cash equivalent,8340.0,3
1437100559.0,Cash or cash equivalent,165056.88,8
1437100302.0,Cash or cash equivalent,420750.18,20
1427789304.0,Cash or cash equivalent,2324823.26,57
1427584283.0,Cash or cash equivalent,11493.9,2
1427579606.0,Cash or cash equivalent,9000.0,1
1427579606.0,In-kind items and services,1203.3600000000001,2
1427570332.0,Cash or cash equivalent,507203.29,172
1427554203.0,Cash or cash equivalent,22779.0,1
1427512847.0,Cash or cash equivalent,301084.2,1
1427512847.0,In-kind items and services,3672.4,1
1427498708.0,In-kind items and services,264.0,1
1427497338.0,Cash or cash equivalent,363902.57,3
1427496850.0,Cash or cash equivalent,27400.0,1
1427495357.0,Cash or cash equivalent,229355.36000000002,23
1427495357.0,In-kind items and services,992242.65,30
1427494095.0,Cash or cash equivalent,5500.0,1
1427493998.0,Cash or cash equivalent,245319.71,21
1427491364.0,Cash or cash equivalent,26692.0,4
1427491000.0,Cash or cash equivalent,3535.87,11
1427479310.0,Cash or cash equivalent,319146.9,14
1427479310.0,In-kind items and services,16923.64,2
1427476035.0,Cash or cash equivalent,37979.409999999996,5
1427463058.0,Cash or cash equivalent,10910.13,3
1427460526.0,Cash or cash equivalent,107182.95,57
1427455765.0,Cash or cash equivalent,54957.12,3
1427455765.0,In-kind items and services,60.69,1
1427447036.0,Cash or cash equivalent,17497.0,1
1427445022.0,Cash or cash equivalent,35964.25,1
1427445022.0,In-kind items and services,4911.73,2
1427444611.0,Cash or cash equivalent,161449.67,1
1427444173.0,Cash or cash equivalent,5825.0,6
1427443134.0,Cash or cash equivalent,30058.0,9
1427437599.0,Cash or cash equivalent,14478.64,14
1427433762.0,Cash or cash equivalent,99986.06,5
1427411743.0,Cash or cash equivalent,112307.0,25
1427393065.0,Cash or cash equivalent,147960.0,53
1427391861.0,Cash or cash equivalent,24000.0,1
1427391861.0,In-kind items and services,409.83,1
1427391101.0,Cash or cash equivalent,3367.0,4
1427381607.0,Cash or cash equivalent,10750.0,3
1427381607.0,In-kind items and services,78800.0,1
1427373323.0,Cash or cash equivalent,320.0,1
1427372721.0,Cash or cash equivalent,11388.0,9
1427372721.0,In-kind items and services,2094.03,2
1427369487.0,Cash or cash equivalent,120705.72,1
1427369172.0,Cash or cash equivalent,18745.18,11
1427369172.0,In-kind items and services,4559.4,6
1427367499.0,Cash or cash equivalent,10372.02,1
1427361377.0,Cash or cash equivalent,76786.44,1
1427357839.0,Cash or cash equivalent,1500.0,1
1427357698.0,Cash or cash equivalent,47769.92,4
1427353622.0,Cash or cash equivalent,910.0,1
1427353622.0,In-kind items and services,28736.21,1
1427347863.0,Cash or cash equivalent,15692.0,4
1427346766.0,Cash or cash equivalent,139903.95,4
1427346683.0,In-kind items and services,31813.59,1
1427345982.0,Cash or cash equivalent,7000.0,1
1427344423.0,Cash or cash equivalent,70627.5,14
1427344423.0,In-kind items and services,93.71,1
1427343938.0,Cash or cash equivalent,165215.0,2
1427343938.0,In-kind items and services,18856.06,4
1427342294.0,Cash or cash equivalent,2500.0,1
1427342211.0,Cash or cash equivalent,82991.6,7
1427340355.0,Cash or cash equivalent,186642.0,19
1427340199.0,Cash or cash equivalent,1508364.94,31
1427340199.0,In-kind items and services,1936.84,1
1427339928.0,Cash or cash equivalent,30192.2,1
1427339928.0,In-kind items and services,131610.24,2
1427336890.0,Cash or cash equivalent,131568.18,9
1427324458.0,Cash or cash equivalent,36447.13,17
1427319912.0,Cash or cash equivalent,25187.04,7
1427319334.0,Cash or cash equivalent,2000942.36,65
1427319334.0,In-kind items and services,108116.5,56
1427317403.0,Cash or cash equivalent,272689.16,57
1427317403.0,In-kind items and services,82800.0,1
1427299387.0,Cash or cash equivalent,324936.88,238
1427292812.0,Cash or cash equivalent,107906.26000000001,26
1427292804.0,Cash or cash equivalent,23924.190000000002,2
1427292804.0,In-kind items and services,159.6,1
1427291863.0,Cash or cash equivalent,79345.26,17
1427290360.0,Cash or cash equivalent,592149.18,79
1427290360.0,In-kind items and services,3538.9700000000003,2
1427290014.0,Cash or cash equivalent,11390.54,1
1427288893.0,Cash or cash equivalent,10548.0,1
1427288893.0,In-kind items and services,200320.0,1
1427287812.0,Cash or cash equivalent,4158.6,2
1427286681.0,Cash or cash equivalent,77427.95,6
1427286681.0,In-kind items and services,70.0,2
1427286228.0,Cash or cash equivalent,4383.75,1
1427286137.0,Cash or cash equivalent,22526.0,1
1427284314.0,Cash or cash equivalent,959191.32,126
1427283472.0,Cash or cash equivalent,12012.5,2
1427279017.0,Cash or cash equivalent,241519.96,56
1427276393.0,Cash or cash equivalent,4048126.99,29
1427273762.0,Cash or cash equivalent,32901.2,12
1427273481.0,Cash or cash equivalent,2000.0,1
1427273432.0,Cash or cash equivalent,2676.0,4
1427270313.0,Cash or cash equivalent,2089367.8,135
1427268416.0,Cash or cash equivalent,126855.13,17
1427268259.0,Cash or cash equivalent,206411.16,53
1427265529.0,Cash or cash equivalent,36818.34,4
1427265446.0,Cash or cash equivalent,8925.439999999999,3
1427265131.0,Cash or cash equivalent,117463.44,7
1427262286.0,Cash or cash equivalent,192162.65,27
1427260652.0,Cash or cash equivalent,5529.8,5
1427259555.0,In-kind items and services,20000.0,2
1427258532.0,Cash or cash equivalent,10523.4,6
1427258367.0,Cash or cash equivalent,55847.21000000001,5
1427258078.0,Cash or cash equivalent,10495.5,1
1427256254.0,Cash or cash equivalent,297007.0,8
1427256254.0,In-kind items and services,1424.93,1
1427253236.0,Cash or cash equivalent,330768.15,1
1427252279.0,Cash or cash equivalent,4010.54,1
1427252014.0,Cash or cash equivalent,111396.84,2
1427252014.0,In-kind items and services,31606.12,1
1427251529.0,Cash or cash equivalent,109289.06999999999,7
1427250661.0,Cash or cash equivalent,63706.63,1
1427250349.0,Cash or cash equivalent,137761.27,14
1427250349.0,In-kind items and services,46019.76,2
1427248681.0,Cash or cash equivalent,17678.7,6
1427242767.0,In-kind items and services,60502.67,1
1427240621.0,Cash or cash equivalent,9825.0,4
1427239037.0,Cash or cash equivalent,23669.0,1
1427237528.0,Cash or cash equivalent,48283.850000000006,7
1427235035.0,Cash or cash equivalent,59908.0,2
1427229087.0,Cash or cash equivalent,13257.0,8
1427225069.0,Cash or cash equivalent,146823.44,48
1427225069.0,In-kind items and services,89460.43,3
1427222959.0,Cash or cash equivalent,209694.45,140
1427222959.0,In-kind items and services,2540.0,3
1427221886.0,Cash or cash equivalent,240.0,1
1427220227.0,In-kind items and services,1348.62,1
1427219724.0,Cash or cash equivalent,12121.0,5
1427218460.0,Cash or cash equivalent,29116.0,7
1427218205.0,Cash or cash equivalent,872023.5,21
1427218205.0,In-kind items and services,670003.4400000001,2
1427217264.0,Cash or cash equivalent,7464.86,1
1427215557.0,Cash or cash equivalent,59926.64,17
1427215557.0,In-kind items and services,401498.33,3
1427215185.0,Cash or cash equivalent,54621.25,38
1427215094.0,Cash or cash equivalent,134351.4,22
1427214147.0,Cash or cash equivalent,220140.06,10
1427213461.0,Cash or cash equivalent,1186724.48,377
1427213461.0,In-kind items and services,4003.98,2
1427212836.0,Cash or cash equivalent,1500.0,1
1427211366.0,Cash or cash equivalent,13531.65,2
1427210053.0,Cash or cash equivalent,72353.0,3
1427208990.0,Cash or cash equivalent,4470.0,1
1427207331.0,Cash or cash equivalent,56450.56,24
1427207331.0,In-kind items and services,181130.0,1
1427205061.0,Cash or cash equivalent,64793.13,5
1427205061.0,In-kind items and services,588.11,2
1427204221.0,In-kind items and services,500.42999999999995,3
1427204106.0,Cash or cash equivalent,3763.0,1
1427201938.0,Cash or cash equivalent,3800.0,1
1427200195.0,Cash or cash equivalent,118697.26,7
1427194687.0,Cash or cash equivalent,175408.18,58
1427194166.0,Cash or cash equivalent,67859.64,5
1427193671.0,Cash or cash equivalent,2171052.37,85
1427193671.0,In-kind items and services,12494.65,8
1427190115.0,Cash or cash equivalent,529507.29,50
1427190115.0,In-kind items and services,7371.59,2
1427189935.0,Cash or cash equivalent,23334.8,1
1427178284.0,Cash or cash equivalent,19327.0,1
1427176254.0,Cash or cash equivalent,1282.22,1
1427172246.0,Cash or cash equivalent,16500.0,2
1427171677.0,Cash or cash equivalent,437817.45,33
1427171677.0,In-kind items and services,196749.86,1
1427167634.0,Cash or cash equivalent,199579.97,8
1427167634.0,In-kind items and services,7192.51,12
1427167261.0,Cash or cash equivalent,117763.86,17
1427164904.0,Cash or cash equivalent,598.0,1
1427164532.0,Cash or cash equivalent,49389.399999999994,4
1427162155.0,Cash or cash equivalent,113109.81,27
1427162155.0,In-kind items and services,590.0,5
1427161710.0,Cash or cash equivalent,109626.21,7
1427160902.0,Cash or cash equivalent,332244.36,9
1427158245.0,Cash or cash equivalent,141553.1,9
1427155837.0,Cash or cash equivalent,48507.0,18
1427155217.0,Cash or cash equivalent,285636.24,32
1427149038.0,Cash or cash equivalent,10165.0,2
1427148535.0,Cash or cash equivalent,6196.5,1
1427146935.0,Cash or cash equivalent,406881.2,160
1427146935.0,In-kind items and services,5574.0,1
1427146687.0,In-kind items and services,3954249.17,1
1427141902.0,Cash or cash equivalent,9000.0,3
1427141746.0,In-kind items and services,3257.22,1
1427138783.0,Cash or cash equivalent,49155.82,6
1427138494.0,Cash or cash equivalent,500862.44999999995,3
1427138494.0,In-kind items and services,2213007.84,1
1427138395.0,Cash or cash equivalent,96340.0,5
1427137694.0,Cash or cash equivalent,8031.0,1
1427134287.0,Cash or cash equivalent,183311.06,59
1427134287.0,In-kind items and services,6682.11,1
1427132836.0,In-kind items and services,6514.06,1
1427132802.0,Cash or cash equivalent,102113.76,28
1427130335.0,Cash or cash equivalent,93671.41,9
1427129519.0,Cash or cash equivalent,54113.0,2
1427129519.0,In-kind items and services,588.13,1
1427122928.0,Cash or cash equivalent,559888.57,30
1427122928.0,In-kind items and services,28648.07,3
1427121524.0,Cash or cash equivalent,407751.76,22
1427121524.0,In-kind items and services,4686.28,4
1427118868.0,Cash or cash equivalent,72.97,2
1427118868.0,In-kind items and services,170.35,1
1427118348.0,Cash or cash equivalent,4580.0,1
1427118165.0,Cash or cash equivalent,27541.1,1
1427114545.0,Cash or cash equivalent,20806.79,21
1427114255.0,Cash or cash equivalent,8093.0,5
1427111681.0,Cash or cash equivalent,6616.4,5
1427110782.0,Cash or cash equivalent,99694.6,3
1427107978.0,Cash or cash equivalent,9800.63,1
1427104025.0,Cash or cash equivalent,16135.0,3
1427102490.0,Cash or cash equivalent,213123.2,6
1427099001.0,Cash or cash equivalent,50.31,1
1427098102.0,Cash or cash equivalent,95688.08,23
1427097948.0,Cash or cash equivalent,2332.2,1
1427096700.0,Cash or cash equivalent,141217.0,6
1427095918.0,Cash or cash equivalent,154313.91999999998,32
1427094168.0,Cash or cash equivalent,1140.0,1
1427094168.0,In-kind items and services,13443.07,1
1427092352.0,Cash or cash equivalent,31801.21,20
1427091263.0,Cash or cash equivalent,7765.9,3
1427091263.0,In-kind items and services,14520.0,2
1427089119.0,Cash or cash equivalent,3531.6800000000003,2
1427088475.0,In-kind items and services,1702.78,4
1427088392.0,Cash or cash equivalent,3146.2200000000003,2
1427087071.0,Cash or cash equivalent,12400.0,3
1427085810.0,Cash or cash equivalent,70410.82,4
1427083666.0,Cash or cash equivalent,55109.75,9
1427082874.0,Cash or cash equivalent,11404.060000000001,2
1427082189.0,Cash or cash equivalent,1200.0,3
1427082189.0,In-kind items and services,210.0,1
1427081520.0,Cash or cash equivalent,170853.09,30
1427081520.0,In-kind items and services,1874.57,1
1427081249.0,Cash or cash equivalent,110.0,1
1427078781.0,Cash or cash equivalent,492300.54,43
1427078781.0,In-kind items and services,825.71,9
1427076926.0,Cash or cash equivalent,894163.15,59
1427076926.0,In-kind items and services,11318.95,2
1427074749.0,Cash or cash equivalent,14726.46,1
1427074210.0,Cash or cash equivalent,1505753.78,410
1427074210.0,In-kind items and services,1245689.25,15
1427070747.0,Cash or cash equivalent,478702.98,8
1427070747.0,In-kind items and services,33970.27,2
1427070598.0,Cash or cash equivalent,91841.92,9
1427070010.0,Cash or cash equivalent,1000.0,1
1427069590.0,Cash or cash equivalent,15875.0,1
1427068618.0,Cash or cash equivalent,54900.53,7
1427068618.0,In-kind items and services,341.0,1
1427067529.0,Cash or cash equivalent,409504.51,13
1427067529.0,In-kind items and services,9761.49,3
1427067024.0,Cash or cash equivalent,20409.0,5
1427063932.0,Cash or cash equivalent,17738.0,4
1427060938.0,Cash or cash equivalent,1350.0,2
1427059880.0,Cash or cash equivalent,2500.0,1
1427059781.0,Cash or cash equivalent,380535.0,14
1427059682.0,Cash or cash equivalent,834.0,2
1427059617.0,Cash or cash equivalent,1114.0,2
1427059344.0,Cash or cash equivalent,58308.7,42
1427058866.0,Cash or cash equivalent,118113.92,5
1427058643.0,Cash or cash equivalent,18527.92,7
1427057223.0,Cash or cash equivalent,97103.58,2
1427057165.0,Cash or cash equivalent,65878.81,15
1427057165.0,In-kind items and services,585.0,12
1427056134.0,Cash or cash equivalent,223017.09,33
1427056134.0,In-kind items and services,14810.0,5
1427055326.0,Cash or cash equivalent,140354.0,18
1427054808.0,Cash or cash equivalent,8089.0,2
1427054568.0,Cash or cash equivalent,13442.0,1
